NOC,Year,delegation_size,female_ratio,sport_count,total_medals,gold_medals,silver_medals,bronze_medals,sport_hhi,medal_rate,Season,is_host,wb_country,gdp,population,gdp_per_capita,log_gdp,log_population,log_gdp_per_capita,log_delegation_size,log_total_medals
AFG,1960,12,0.0,2,0,0,0,0,0.0,0.0,Summer,0,Afghanistan,,9035043.0,,,16.016621241266648,,2.4849066497880004,0.0
AFG,1964,8,0.0,1,0,0,0,0,0.0,0.0,Summer,0,Afghanistan,,9814318.0,,,16.099352897797065,,2.0794415416798357,0.0
AFG,1968,5,0.0,1,0,0,0,0,0.0,0.0,Summer,0,Afghanistan,,10756922.0,,,16.19106001229554,,1.6094379124341003,0.0
AFG,1972,8,0.0,1,0,0,0,0,0.0,0.0,Summer,0,Afghanistan,,11853696.0,,,16.288150275649294,,2.0794415416798357,0.0
AFG,1980,11,0.0,2,0,0,0,0,0.0,0.0,Summer,0,Afghanistan,,13169311.0,,,16.39339975648154,,2.3978952727983707,0.0
AFG,1988,5,0.0,1,0,0,0,0,0.0,0.0,Summer,0,Afghanistan,,11523298.0,,,16.25988145698259,,1.6094379124341003,0.0
AFG,1996,2,0.0,1,0,0,0,0,0.0,0.0,Summer,0,Afghanistan,,17763266.0,,,16.692643175017825,,0.6931471805599453,0.0
AFG,2004,5,0.4,4,0,0,0,0,0.0,0.0,Summer,0,Afghanistan,5224896718.67782,23560654.0,221.76365387301306,22.376700867841695,16.975088675275803,5.401612192565894,1.6094379124341003,0.0
AFG,2008,4,0.25,2,1,0,0,1,1.0,0.25,Summer,0,Afghanistan,10109297047.5432,26482622.0,381.7332380284399,23.036721337150283,17.091999302258,5.944722034892284,1.3862943611198906,0.6931471805599453
AFG,2012,6,0.16666666666666666,4,1,0,0,1,1.0,0.16666666666666666,Summer,0,Afghanistan,19907329777.5872,30560034.0,651.4171344700468,23.71435383139184,17.23520363482742,6.47915019656442,1.791759469228055,0.6931471805599453
AFG,2016,3,0.3333333333333333,2,0,0,0,0,0.0,0.0,Summer,0,Afghanistan,18116572395.0772,34700612.0,522.0822155838981,23.620092958248385,17.362267881649167,6.257825076599219,1.0986122886681098,0.0
AHO,1960,5,0.0,1,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,1.6094379124341003,0.0
AHO,1964,4,0.0,2,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,1.3862943611198906,0.0
AHO,1968,5,0.4,2,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,1.6094379124341003,0.0
AHO,1972,2,0.0,2,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,0.6931471805599453,0.0
AHO,1976,4,0.0,2,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,1.3862943611198906,0.0
AHO,1984,8,0.5384615384615384,3,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,2.0794415416798357,0.0
AHO,1988,3,0.25,3,1,0,1,0,1.0,0.3333333333333333,Summer,0,,,,,,,,1.0986122886681098,0.6931471805599453
AHO,1992,4,0.25,3,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,1.3862943611198906,0.0
AHO,1996,6,0.0,5,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,1.791759469228055,0.0
AHO,2000,7,0.125,6,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,1.9459101490553132,0.0
AHO,2004,3,0.0,2,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,1.0986122886681098,0.0
AHO,2008,3,0.0,3,0,0,0,0,0.0,0.0,Summer,0,,,,,,,,1.0986122886681098,0.0
ALB,1972,5,0.2,2,0,0,0,0,0.0,0.0,Summer,0,Albania,,2243126.0,,,14.62338098669054,,1.6094379124341003,0.0
ALB,1992,7,0.2222222222222222,4,0,0,0,0,0.0,0.0,Summer,0,Albania,652174990.837304,3247039.0,200.85221977232302,20.295823474735304,14.993254062100007,5.302569412635298,1.9459101490553132,0.0
