NOC,Year,delegation_size,female_ratio,sport_count,total_medals,gold_medals,silver_medals,bronze_medals,sport_hhi,medal_rate,Season,is_host,wb_country,gdp,population,gdp_per_capita,log_gdp,log_population,log_gdp_per_capita,log_delegation_size,log_total_medals
AHO,1988,2,0.0,2,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.6931471805599453,0.0
AHO,1992,2,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.6931471805599453,0.0
ALB,2006,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Albania,9150528132.17633,2992547.0,3057.772570381127,22.937077433931677,14.911635422222425,8.025442011709252,0.0,0.0
ALB,2010,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Albania,12086545641.299,2913021.0,4149.144699368456,23.21535874042462,14.884701244978409,8.330657495446212,0.0,0.0
ALB,2014,1,1.0,1,0,0,0,0,0.0,0.0,Winter,0,Albania,13296322588.1684,2773767.0,4793.597511315262,23.310753336811544,14.835716882097046,8.4750364547145,0.0,0.0
ALG,1992,4,0.25,1,0,0,0,0,0.0,0.0,Winter,0,Algeria,48003133346.9957,26628568.0,1802.6930080128866,24.59453212378619,17.09749518240508,7.497036941381114,1.3862943611198906,0.0
ALG,2006,2,0.6666666666666666,2,0,0,0,0,0.0,0.0,Winter,0,Algeria,123084258693.01,33623506.0,3660.661047453231,25.53613498781733,17.330735963672414,8.205399024144917,0.6931471805599453,0.0
ALG,2010,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Algeria,177785053939.531,36188236.0,4912.785855036731,25.90384109541038,17.404244651605342,8.499596443805038,0.0,0.0
AND,1976,5,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.6094379124341003,0.0
AND,1980,3,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.0986122886681098,0.0
AND,1984,2,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.6931471805599453,0.0
AND,1988,4,0.5555555555555556,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.3862943611198906,0.0
AND,1992,5,0.21428571428571427,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.6094379124341003,0.0
AND,1994,6,0.38461538461538464,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.791759469228055,0.0
AND,1998,3,0.2857142857142857,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.0986122886681098,0.0
AND,2002,3,0.4,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.0986122886681098,0.0
AND,2006,3,0.0,2,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.0986122886681098,0.0
AND,2010,6,0.35,3,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.791759469228055,0.0
AND,2014,6,0.4166666666666667,3,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,1.791759469228055,0.0
